Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),83.76,79.14,86.39,2680.40,79.43,80.16,80.86,82.47,84.11,85.05,85.94,86.20,86.35,1.93
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,39.69,24.00,48.00,1270.00,24.00,25.10,27.30,32.75,40.50,48.00,48.00,48.00,48.00,7.98
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.43,0.00,1.62,13.65,0.00,0.00,0.00,0.00,0.26,0.52,1.41,1.59,1.61,0.55
HTTP Connection Overhead (ms),0.43,0.00,1.62,13.65,0.00,0.00,0.00,0.00,0.26,0.52,1.41,1.59,1.61,0.55
HTTP Connection Reused (ratio),0.44,0.00,1.00,14.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),10.31,6.42,12.39,329.95,6.42,6.71,7.24,8.61,10.58,12.28,12.31,12.31,12.36,1.96
HTTP Data Sent (KB),1.44,1.17,1.90,46.16,1.17,1.19,1.22,1.29,1.43,1.54,1.64,1.75,1.88,0.18
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),471.96,291.42,578.24,15102.62,294.55,308.53,339.75,391.37,481.35,555.94,565.19,566.39,575.00,89.31
HTTP Receiving (ms),433.91,254.71,532.81,13885.27,255.16,268.80,293.67,356.78,439.92,523.74,531.26,532.12,532.71,90.54
HTTP Sending (ms),0.64,0.15,1.95,20.61,0.15,0.17,0.17,0.20,0.43,0.66,1.72,1.92,1.95,0.61
HTTP Total Time (ms),472.38,293.02,578.79,15116.26,295.77,308.72,339.99,391.46,481.95,555.94,565.19,566.56,575.38,89.28
HTTP Waiting (TTFB) (ms),37.40,22.56,46.67,1196.73,25.43,32.25,32.69,33.02,34.36,45.75,46.30,46.39,46.62,6.33
Input Sequence Length (tokens),248.91,193.00,333.00,7965.00,196.72,208.30,211.10,225.00,256.50,262.00,281.40,298.35,326.18,30.04
Inter Chunk Latency (ms),11.21,7.84,15.80,13623.71,8.03,10.38,10.70,10.96,11.11,11.29,11.98,12.42,15.66,0.78
Inter Token Latency (ms),11.21,11.04,11.35,358.58,11.04,11.05,11.08,11.12,11.22,11.28,11.31,11.32,11.34,0.09
OSL Mismatch Diff % (%),-18.82,-52.08,0.00,-602.08,-52.08,-49.79,-45.21,-33.85,-17.71,0.00,0.00,0.00,0.00,17.25
Output Sequence Length (tokens),38.97,23.00,48.00,1247.00,23.00,24.10,26.30,31.75,39.50,48.00,48.00,48.00,48.00,8.28
Output Token Count (tokens),38.97,23.00,48.00,1247.00,23.00,24.10,26.30,31.75,39.50,48.00,48.00,48.00,48.00,8.28
Output Token Throughput Per User (tokens/sec/user),89.25,88.12,90.59,2855.91,88.16,88.33,88.44,88.63,89.11,89.89,90.28,90.47,90.57,0.74
Prefill Throughput Per User (tokens/sec/user),6743.12,4377.15,11265.40,215779.93,4378.15,4603.27,4926.96,5561.29,6633.37,7566.55,8260.80,9210.64,10794.44,1520.75
Request Latency (ms),463.88,280.28,578.30,14844.06,283.49,297.49,327.57,380.94,470.73,556.02,565.25,566.46,575.07,92.70
Time to First Output Token (ms),38.14,22.81,48.55,1220.34,25.80,32.69,32.94,33.45,35.34,46.28,48.06,48.30,48.48,6.62
Time to First Token (ms),38.14,22.81,48.55,1220.34,25.80,32.69,32.94,33.45,35.34,46.28,48.06,48.30,48.48,6.62
Time to Second Token (ms),11.17,7.84,13.12,357.42,8.47,9.91,9.96,10.11,10.85,12.46,12.99,13.01,13.08,1.29

Metric,Value
Benchmark Duration (sec),1.10
OSL Mismatch Count,22.00
Output Token Throughput (tokens/sec),1133.25
Request Count,32.00
Request Throughput (requests/sec),29.08
Total Input Sequence Length (tokens),7965.00
Total Output Sequence Length (tokens),1247.00
Total Output Tokens (tokens),1247.00
Total Token Throughput (tokens/sec),8371.67


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
