Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),87.00,84.43,88.93,2784.06,84.60,85.11,85.44,86.33,87.38,87.60,87.94,88.41,88.83,1.05
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,39.53,24.00,48.00,1265.00,24.31,26.65,29.00,33.75,38.50,48.00,48.00,48.00,48.00,7.91
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.14,0.00,1.26,4.53,0.00,0.00,0.00,0.00,0.00,0.00,0.90,1.13,1.23,0.38
HTTP Connection Overhead (ms),0.14,0.00,1.26,4.53,0.00,0.00,0.00,0.00,0.00,0.00,0.90,1.13,1.23,0.38
HTTP Connection Reused (ratio),0.88,0.00,1.00,28.00,0.00,0.00,0.10,1.00,1.00,1.00,1.00,1.00,1.00,0.33
HTTP Data Received (KB),10.27,6.41,12.47,328.66,6.49,7.09,7.67,8.87,10.08,12.29,12.34,12.40,12.46,1.94
HTTP Data Sent (KB),1.44,1.17,1.90,46.16,1.17,1.19,1.22,1.29,1.43,1.54,1.64,1.75,1.88,0.18
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),453.42,273.98,549.54,14509.42,280.57,313.11,330.69,393.03,441.89,547.81,548.78,549.03,549.39,88.05
HTTP Receiving (ms),422.41,250.66,516.95,13517.00,254.57,281.79,306.34,358.53,410.14,515.20,516.27,516.52,516.83,86.95
HTTP Sending (ms),0.33,0.13,1.58,10.56,0.13,0.14,0.14,0.15,0.16,0.20,1.22,1.45,1.56,0.43
HTTP Total Time (ms),453.56,274.98,550.72,14513.95,281.26,313.11,330.69,393.30,441.89,547.81,548.78,549.03,550.20,87.97
HTTP Waiting (TTFB) (ms),30.68,21.99,33.27,981.86,22.31,23.13,23.29,31.59,32.01,32.37,32.73,32.94,33.20,3.36
Input Sequence Length (tokens),248.91,193.00,333.00,7965.00,196.72,208.30,211.10,225.00,256.50,262.00,281.40,298.35,326.18,30.04
Inter Chunk Latency (ms),10.96,10.09,12.31,13294.08,10.27,10.53,10.64,10.80,10.90,11.04,11.39,11.70,12.07,0.33
Inter Token Latency (ms),10.96,10.88,11.01,350.65,10.89,10.91,10.92,10.94,10.96,10.98,11.00,11.00,11.00,0.03
OSL Mismatch Diff % (%),-18.95,-52.08,0.00,-606.25,-51.44,-46.56,-41.67,-31.77,-21.88,0.00,0.00,0.00,0.00,17.33
Output Sequence Length (tokens),38.91,23.00,48.00,1245.00,23.31,25.65,28.00,32.75,37.50,48.00,48.00,48.00,48.00,8.32
Output Token Count (tokens),38.91,23.00,48.00,1245.00,23.31,25.65,28.00,32.75,37.50,48.00,48.00,48.00,48.00,8.32
Output Token Throughput Per User (tokens/sec/user),91.26,90.87,91.89,2920.29,90.88,90.91,90.93,91.06,91.24,91.39,91.59,91.67,91.85,0.25
Prefill Throughput Per User (tokens/sec/user),8136.47,5851.24,13218.43,260367.12,5913.46,6259.31,6453.77,7220.22,7991.05,8633.88,10108.71,10898.73,12503.30,1557.82
Request Latency (ms),446.53,262.95,549.70,14289.05,269.56,302.20,319.45,382.22,430.88,547.87,548.83,549.09,549.52,92.58
Time to First Output Token (ms),31.09,23.28,34.86,994.97,23.35,23.54,23.60,31.84,32.24,32.60,32.97,34.67,34.82,3.36
Time to First Token (ms),31.09,23.28,34.86,994.97,23.35,23.54,23.60,31.84,32.24,32.60,32.97,34.67,34.82,3.36
Time to Second Token (ms),10.81,10.11,11.82,345.88,10.16,10.27,10.36,10.54,10.73,11.18,11.30,11.70,11.79,0.43

Metric,Value
Benchmark Duration (sec),1.99
OSL Mismatch Count,20.00
Output Token Throughput (tokens/sec),626.04
Request Count,32.00
Request Throughput (requests/sec),16.09
Total Input Sequence Length (tokens),7965.00
Total Output Sequence Length (tokens),1245.00
Total Output Tokens (tokens),1245.00
Total Token Throughput (tokens/sec),4631.20


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
