Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),86.75,85.16,89.05,2776.05,85.18,85.27,85.36,85.90,86.62,87.65,87.71,87.81,88.71,1.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,37.94,24.00,48.00,1214.00,24.62,27.10,28.10,30.75,37.00,48.00,48.00,48.00,48.00,8.31
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),9.87,6.43,12.46,315.95,6.58,7.19,7.46,8.09,9.67,12.28,12.30,12.33,12.42,2.03
HTTP Data Sent (KB),1.44,1.17,1.90,46.16,1.17,1.19,1.22,1.29,1.43,1.54,1.64,1.75,1.88,0.18
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),436.28,274.62,548.16,13961.03,281.27,313.32,329.22,351.76,427.06,547.22,547.68,547.90,548.15,92.19
HTTP Receiving (ms),405.72,251.89,516.53,12983.04,258.61,286.01,297.49,326.73,395.45,515.65,515.99,516.37,516.52,91.33
HTTP Sending (ms),0.20,0.15,0.39,6.36,0.15,0.16,0.16,0.17,0.19,0.21,0.23,0.25,0.35,0.04
HTTP Total Time (ms),436.28,274.62,548.16,13961.03,281.27,313.32,329.22,351.76,427.06,547.22,547.68,547.90,548.15,92.19
HTTP Waiting (TTFB) (ms),30.36,22.10,32.55,971.63,22.21,22.46,23.35,31.14,31.49,31.61,31.78,32.01,32.42,3.03
Input Sequence Length (tokens),248.91,193.00,333.00,7965.00,196.72,208.30,211.10,225.00,256.50,262.00,281.40,298.35,326.18,30.04
Inter Chunk Latency (ms),10.98,8.87,13.19,12735.28,10.55,10.73,10.79,10.88,10.96,11.06,11.19,11.28,11.63,0.25
Inter Token Latency (ms),10.98,10.94,11.07,351.27,10.94,10.95,10.96,10.97,10.98,10.98,10.99,10.99,11.05,0.02
OSL Mismatch Diff % (%),-22.40,-52.08,0.00,-716.67,-50.79,-45.62,-43.54,-38.02,-25.00,0.00,0.00,0.00,0.00,18.11
Output Sequence Length (tokens),37.25,23.00,48.00,1192.00,23.62,26.10,27.10,29.75,36.00,48.00,48.00,48.00,48.00,8.69
Output Token Count (tokens),37.25,23.00,48.00,1192.00,23.62,26.10,27.10,29.75,36.00,48.00,48.00,48.00,48.00,8.69
Output Token Throughput Per User (tokens/sec/user),91.10,90.33,91.41,2915.11,90.52,90.96,90.99,91.06,91.10,91.16,91.24,91.34,91.41,0.17
Prefill Throughput Per User (tokens/sec/user),8240.93,6127.82,13638.53,263709.68,6258.45,6599.38,6729.77,7179.13,8076.85,8406.20,10373.27,11407.17,12971.55,1572.93
Request Latency (ms),428.62,263.47,548.22,13715.78,270.21,302.32,317.94,340.72,415.82,547.29,547.76,547.98,548.22,96.45
Time to First Output Token (ms),30.64,22.63,32.81,980.50,22.67,22.75,23.64,31.44,31.73,31.85,32.14,32.26,32.68,3.01
Time to First Token (ms),30.64,22.63,32.81,980.50,22.67,22.75,23.64,31.44,31.73,31.85,32.14,32.26,32.68,3.01
Time to Second Token (ms),10.77,10.21,11.19,344.53,10.23,10.30,10.37,10.62,10.79,10.95,11.08,11.16,11.18,0.25

Metric,Value
Benchmark Duration (sec),3.66
OSL Mismatch Count,21.00
Output Token Throughput (tokens/sec),325.46
Request Count,32.00
Request Throughput (requests/sec),8.74
Total Input Sequence Length (tokens),7965.00
Total Output Sequence Length (tokens),1192.00
Total Output Tokens (tokens),1192.00
Total Token Throughput (tokens/sec),2500.19


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
