Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),85.58,83.65,87.20,2738.50,83.80,84.22,84.43,84.83,86.00,86.34,86.41,86.43,86.96,0.87
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,39.16,23.00,48.00,1253.00,23.93,27.65,30.10,33.00,37.50,48.00,48.00,48.00,48.00,7.90
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),10.18,6.16,12.46,325.78,6.40,7.34,7.94,8.66,9.81,12.28,12.34,12.40,12.46,1.94
HTTP Data Sent (KB),1.44,1.17,1.90,46.16,1.17,1.19,1.22,1.29,1.43,1.54,1.64,1.75,1.88,0.18
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),456.61,266.84,556.59,14611.37,280.27,328.89,356.36,385.99,438.64,555.41,555.91,556.34,556.55,88.98
HTTP Receiving (ms),425.18,244.62,524.40,13605.69,255.07,296.92,324.10,356.56,406.70,523.57,523.76,524.13,524.39,88.09
HTTP Sending (ms),0.18,0.14,0.25,5.90,0.14,0.15,0.15,0.16,0.18,0.20,0.23,0.25,0.25,0.03
HTTP Total Time (ms),456.61,266.84,556.59,14611.37,280.27,328.89,356.36,385.99,438.64,555.41,555.91,556.34,556.55,88.98
HTTP Waiting (TTFB) (ms),31.24,22.00,32.62,999.78,22.00,27.08,31.32,31.60,31.77,32.00,32.32,32.48,32.60,2.41
Input Sequence Length (tokens),248.91,193.00,333.00,7965.00,196.72,208.30,211.10,225.00,256.50,262.00,281.40,298.35,326.18,30.04
Inter Chunk Latency (ms),11.14,7.91,14.36,13365.67,10.35,10.93,11.00,11.07,11.13,11.19,11.28,11.37,12.01,0.35
Inter Token Latency (ms),11.14,11.09,11.16,356.37,11.10,11.12,11.12,11.13,11.14,11.14,11.15,11.16,11.16,0.01
OSL Mismatch Diff % (%),-19.79,-54.17,0.00,-633.33,-52.23,-44.48,-39.37,-33.33,-23.96,0.00,0.00,0.00,0.00,17.27
Output Sequence Length (tokens),38.50,22.00,48.00,1232.00,22.93,26.65,29.10,32.00,36.50,48.00,48.00,48.00,48.00,8.29
Output Token Count (tokens),38.50,22.00,48.00,1232.00,22.93,26.65,29.10,32.00,36.50,48.00,48.00,48.00,48.00,8.29
Output Token Throughput Per User (tokens/sec/user),89.79,89.57,90.14,2873.39,89.59,89.63,89.70,89.74,89.79,89.83,89.89,89.97,90.10,0.10
Prefill Throughput Per User (tokens/sec/user),7975.15,6033.39,13924.24,255204.82,6138.25,6413.92,6654.25,7173.13,7973.44,8245.10,8871.14,9856.99,12809.84,1399.75
Request Latency (ms),449.18,255.31,556.65,14373.71,268.81,317.56,345.09,374.60,427.36,555.49,555.97,556.40,556.61,93.42
Time to First Output Token (ms),31.50,22.28,32.88,1008.04,22.30,27.43,31.65,31.89,32.00,32.24,32.56,32.68,32.84,2.39
Time to First Token (ms),31.50,22.28,32.88,1008.04,22.30,27.43,31.65,31.89,32.00,32.24,32.56,32.68,32.84,2.39
Time to Second Token (ms),10.91,9.88,11.58,349.27,10.10,10.62,10.65,10.90,10.93,11.02,11.11,11.18,11.47,0.26

Metric,Value
Benchmark Duration (sec),7.37
OSL Mismatch Count,21.00
Output Token Throughput (tokens/sec),167.22
Request Count,32.00
Request Throughput (requests/sec),4.34
Total Input Sequence Length (tokens),7965.00
Total Output Sequence Length (tokens),1232.00
Total Output Tokens (tokens),1232.00
Total Token Throughput (tokens/sec),1248.31


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
